raw.material,cycle,ID,class.n,class.min,class.max,class.mean,class.median,class.sd,value.n,value.min,value.max,value.mean,value.median,value.sd
flint,0-125,FLT10-2,1645,1,224,40.308814589665865,32,35.78823157938022,1645,1,41,20.472340425531918,22,10.048301580510866
flint,0-125,FLT10-5,154,1,256,67.57142857142864,50,56.86170094665787,154,1,5,1.8571428571428574,2,0.9318515648619013
flint,0-125,FLT10-6,1206,1,132,36.49419568822598,26,32.924879409412085,1206,1,33,17.24543946931998,19,9.469380658505072
flint,125-250,FLT10-2,1293,1,184,32.29930394431568,21,33.261199717326406,1293,1,53,22.30549110595502,19,13.980812011444156
flint,125-250,FLT10-5,1773,1,256,24.82684715172014,22,22.770667466773546,1773,1,56,36.57698815566857,37,13.609988802810017
flint,125-250,FLT10-6,955,1,256,47.5413612565446,36,40.89272559430076,955,1,19,10.407329842931984,11,5.06587099544119
flint,250-500,FLT10-2,2025,1,48,23.089382716049734,25,11.333360932393816,2025,2,80,51.66567901234558,49,17.48102676573284
flint,250-500,FLT10-5,58,5,256,69.91379310344824,52.5,55.17636300521047,58,1,2,1.3448275862068966,1,0.47946330148538424
flint,250-500,FLT10-6,992,1,256,56.70262096774162,43,50.35415716181509,992,1,21,9.443548387096731,10,5.112344205859983
obsidian,0-125,OBS4-4,3122,1,256,71.5730301089032,59,55.5154456574712,3122,1,44,20.83984625240262,21,10.18281976506986
obsidian,0-125,OBS4-5,2545,1,200,58.44636542239794,42,48.60017263570356,2545,1,47,21.74499017681695,21,11.937657414826216
obsidian,0-125,OBS4-6,2674,1,256,67.1851159311875,41,64.04508608673355,2674,1,56,22.993268511593417,19,16.54114210928439
obsidian,125-250,OBS4-4,3172,1,196,58.12200504413773,53,40.259179968785205,3172,1,46,25.79886506935684,27,10.021353359290645
obsidian,125-250,OBS4-5,6082,1,256,68.22097994080436,59,51.05046982310356,6082,1,76,41.4853666557059,44,16.578205615687217
obsidian,125-250,OBS4-6,522,1,256,50.54789272030672,34,48.30627063331452,522,1,15,6.32950191570883,6,3.8417160848979655
obsidian,250-500,OBS4-4,1033,1,68,17.6766698935139,15,12.720002245153074,1033,1,52,28.182962245885832,27,11.717790263460785
obsidian,250-500,OBS4-5,1549,1,256,52.57198192382163,34,55.89734976369033,1549,1,69,20.63718528082651,13,19.675141028749472
obsidian,250-500,OBS4-6,6001,1,256,45.606398933512786,33,44.745123224549936,6001,1,106,68.58173637727127,80,31.937512317823796
dacite,0-125,DAC3-2,1408,1,256,52.69744318181716,34,51.928694145131956,1408,1,38,15.041193181818304,14,10.11580461717789
dacite,0-125,DAC3-4,237,1,224,68.438818565401,50,54.75787857829143,237,1,8,2.6793248945147687,3,1.5859936360174383
dacite,0-125,DAC3-6,2822,1,248,69.09709425939111,44,62.03082502118245,2822,1,48,21.65060240963889,21,12.972901349926214
dacite,125-250,DAC3-2,1113,1,240,62.721473495059044,49,49.6812108642168,1113,1,23,9.118598382749376,9,4.9090967730558805
dacite,125-250,DAC3-4,3512,1,248,52.88752847380561,33,55.36962248050351,3512,1,72,37.370159453303984,43,21.43596634182577
dacite,125-250,DAC3-6,4,15,256,97,58.5,109.0168182743684,4,1,1,1,1,0
dacite,250-500,DAC3-2,841,1,256,101.80023781212898,83,74.48092149409838,841,1,14,4.816884661117716,4,2.5113552207950236
dacite,250-500,DAC3-4,779,2,256,85.02310654685544,74,59.81412494153914,779,1,13,5.228498074454432,5,2.7471245407890708
dacite,250-500,DAC3-6,1615,1,256,74.06068111455126,67,51.19822045468597,1615,1,21,10.837770897832835,11,4.592131083764762
quartzite,0-125,QTZ1-1,1909,1,236,80.9806181246716,69,58.54644039432481,1909,1,25,11.491356731272978,12,5.120513446828732
quartzite,0-125,QTZ1-2,3541,1,256,72.64642756283281,55,59.54212136591968,3541,1,47,23.680598700931863,26,12.077992279123402
quartzite,0-125,QTZ1-5,6141,1,256,61.05438853607042,48,51.698168482715595,6141,1,111,48.78602833414587,44,27.402699768415317
quartzite,125-250,QTZ1-1,251,1,256,99.69322709163364,93,69.52010870204552,251,1,5,2.1633466135458157,2,1.1068925672252417
quartzite,125-250,QTZ1-2,141,1,256,65.18439716312054,53,48.983321190100654,141,1,4,1.8085106382978728,2,0.9174101249637597
quartzite,125-250,QTZ1-5,51,1,256,73.96078431372545,57,60.08725681350871,51,1,2,1.3529411764705883,1,0.482639799923906
quartzite,250-500,QTZ1-1,1723,1,256,59.58444573418358,43,52.41988779054283,1723,1,30,14.997678467788928,16,8.207599333892267
quartzite,250-500,QTZ1-2,1404,1,136,32.871794871794826,27,24.9589673681863,1404,1,42,20.368945868945794,21,9.069655454539998
quartzite,250-500,QTZ1-5,628,1,192,59.8662420382164,52,44.433000013069346,628,1,12,5.595541401273899,5,2.665649980410022
