ID;rawmaterial;grain;Date;Time;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10
QTZ1-5;quartzite;coarse;09/06/2021;14:22:10;919;872;850;891;929;908;915;898;894;917
QTZ1-2;quartzite;coarse;09/06/2021;14:12:22;863;918;929;889;919;894;911;900;935;919
QTZ1-1;quartzite;coarse;09/06/2021;14:05:18;910;890;895;855;899;877;866;896;855;890
OBS4-6;obsidian;fine;09/06/2021;13:59:22;927;940;959;957;948;962;960;960;954;951
OBS4-5;obsidian;fine;09/06/2021;13:51:50;969;960;953;964;967;953;962;961;956;953
OBS4-4;obsidian;fine;09/06/2021;13:48:41;966;965;970;969;969;961;966;959;968;964
FLT10-6;flint;fine;09/06/2021;12:22:13;954;950;949;904;920;955;958;954;961;949
FLT10-5;flint;fine;09/06/2021;12:18:19;963;956;900;922;914;924;932;944;968;937
FLT10-2;flint;fine;09/06/2021;12:00:33;968;972;964;959;965;953;968;970;968;969
DAC3-6;dacite;coarse;09/06/2021;15:03:51;966;973;975;969;945;931;968;967;974;971
DAC3-4;dacite;coarse;09/06/2021;14:50:33;955;961;956;972;970;968;971;967;968;966
DAC3-2;dacite;coarse;09/06/2021;14:40:31;940;938;919;962;946;944;865;907;950;954
