rawmaterial;grain;cycle;sampleid;force;friction;velocity;depth;ahd;hlc
Dacite;coarse;0-125;DAC3-2;-58,669;-13,166;1,993;0,921;38;942
Dacite;coarse;125-250;DAC3-2;-58,427;-14,322;0,285;1,202;23;942
Dacite;coarse;250-500;DAC3-2;-58,564;-0,894;-0,126;0,729;14;942
Dacite;coarse;0-125;DAC3-4;-58,493;9,873;2,658;1,455;8;965,4
Dacite;coarse;125-250;DAC3-4;-58,043;-4,877;1,406;2,501;72;965,4
Dacite;coarse;250-500;DAC3-4;-58,234;11,772;2,627;0,626;13;965,4
Dacite;coarse;0-125;DAC3-6;-58,781;8,233;2,992;1,339;48;963,9
Dacite;coarse;125-250;DAC3-6;-58,968;1,313;1,813;0,768;1;963,9
Dacite;coarse;250-500;DAC3-6;-58,959;4,855;2,146;0,742;21;963,9
Flint;fine;0-125;FLT10-2;-59,010;22,002;2,677;1,833;41;965,6
Flint;fine;125-250;FLT10-2;-58,893;25,835;2,039;2,177;53;965,6
Flint;fine;250-500;FLT10-2;-58,989;-4,392;0,562;1,054;80;965,6
Flint;fine;0-125;FLT10-5;-58,649;-7,211;0,668;0,720;5;936
Flint;fine;125-250;FLT10-5;-58,600;20,159;0,934;1,506;56;936
Flint;fine;250-500;FLT10-5;-59,422;20,277;1,824;2,132;2;936
Flint;fine;0-125;FLT10-6;-58,716;4,715;2,637;0,996;33;945,4
Flint;fine;125-250;FLT10-6;-58,603;12,981;2,185;1,545;19;945,4
Flint;fine;250-500;FLT10-6;-58,783;1,119;2,630;1,386;21;945,4
Obsidian;fine;0-125;OBS4-4;-58,301;2,226;2,625;1,048;44;965,7
Obsidian;fine;125-250;OBS4-4;-58,957;2,297;1,880;0,819;46;965,7
Obsidian;fine;250-500;OBS4-4;-58,515;3,587;0,902;0,973;52;965,7
Obsidian;fine;0-125;OBS4-5;-58,666;4,180;2,645;1,006;47;959,8
Obsidian;fine;125-250;OBS4-5;-57,728;-4,129;0,592;1,370;76;959,8
Obsidian;fine;250-500;OBS4-5;-57,934;-2,437;0,676;1,018;69;959,8
Obsidian;fine;0-125;OBS4-6;-58,667;6,592;3,028;1,100;56;951,8
Obsidian;fine;125-250;OBS4-6;-58,810;-6,261;0,881;0,926;15;951,8
Obsidian;fine;250-500;OBS4-6;-58,378;2,797;1,022;0,756;106;951,8
Quartzite;coarse;0-125;QTZ1-2;-58,811;-4,594;2,588;0,947;47;907,7
Quartzite;coarse;125-250;QTZ1-2;-58,857;4,512;2,634;1,298;4;907,7
Quartzite;coarse;250-500;QTZ1-2;-58,524;8,120;2,274;1,589;42;907,7
Quartzite;coarse;0-125;QTZ1-5;-58,915;-3,301;2,041;0,475;111;899,3
Quartzite;coarse;125-250;QTZ1-5;-58,959;-2,350;3,072;0,736;2;899,3
Quartzite;coarse;250-500;QTZ1-5;-58,864;0,932;2,602;1,561;12;899,3
Quartzite;coarse;0-125;QZT1-1;-58,569;1,058;2,473;0,632;25;883,3
Quartzite;coarse;125-250;QZT1-1;-59,037;-2,626;1,171;0,733;5;883,3
Quartzite;coarse;250-500;QZT1-1;-58,771;5,991;2,802;0,734;30;883,3
